date,rating,review
2019.05.15. 14:08,"별점(10점 만점 중)
8",시빌워부터 보기시작해서 이해가 어려웠어요ㅠ 정주행 하고 갈껄..!!!
2019.07.22. 13:48,"별점(10점 만점 중)
9",다늦어서 봣지만.. 좋다..
2019.05.06. 07:04,"별점(10점 만점 중)
10",10년간의 질주에 납득이 가는 마지막
2019.11.23. 13:04,"별점(10점 만점 중)
10",큰딸이랑 아주 재미있게 잘봤어요~ 큰딸이 엄청 재미있섰다고 하네요~ ^^
2019.04.24. 10:44,"별점(10점 만점 중)
10",무슨말이 더필요하냐 킹갓마블짱짱 아옘아연맨 캬
2019.10.10. 22:36,"별점(10점 만점 중)
10",나의 첫 마블이자 마지막 마블 영화.
2019.06.29. 12:03,"별점(10점 만점 중)
10",간만에 재밌게 보건같아요
2019.06.27. 22:27,"별점(10점 만점 중)
10",한명한명의 연기가 뛰어났다
2019.06.19. 09:54,"별점(10점 만점 중)
10",재밌네요. 볼만합니다.
2019.06.17. 17:00,"별점(10점 만점 중)
10",엉엉ㅇ엉ㄹ엉ㅇ엉ㅇ엉ㅇ엉ㅇ엉ㅇㅇ
2019.06.03. 06:55,"별점(10점 만점 중)
9",이건 봐야해ㅐㅐ진짜루
2019.06.02. 08:09,"별점(10점 만점 중)
10",역시 애션씬은 대단함!
2019.05.15. 15:08,"별점(10점 만점 중)
10",감사합니다 너무즐겁게봤어요
2019.05.15. 15:06,"별점(10점 만점 중)
9",다시보자 너무나도 재밋구만!
2019.05.15. 15:06,"별점(10점 만점 중)
10",재밌지요 당연하지요!
2019.05.15. 14:36,"별점(10점 만점 중)
10",크~ 다음 영화가 기다려 져요!!!
2019.05.15. 14:13,"별점(10점 만점 중)
10",재밌습니다!!굳굳 완전 강추
2019.05.09. 20:14,"별점(10점 만점 중)
10",감사합니다 행복했습니다
2020.04.12. 14:32,"별점(10점 만점 중)
10",엄청 재미 있어요.
2019.05.08. 18:22,"별점(10점 만점 중)
7",치즈버거에서 오열했습니다
2019.05.07. 22:51,"별점(10점 만점 중)
8",3000만큼 기대햇고 3000만큼 잼낫는데 토르가 좀더 멋잇엇음 하는 바램...
2020.02.27. 18:45,"별점(10점 만점 중)
10",재미있어요! 영화 시간이 엄청 긴데 순식간에 끝나서 아쉬워요ㅠㅠ
2019.10.09. 21:29,"별점(10점 만점 중)
10",스포일러가 포함된 감상평입니다. 감상평보기
2019.04.24. 13:00,"별점(10점 만점 중)
8",뭔가 다르다. 전에 영화들은 보고나면 쩐다 이런 느낌이었는데. 이번엔 뭔가 찝찝하네.
2019.09.18. 17:19,"별점(10점 만점 중)
10",아이언맨 그리워요..
2019.09.12. 13:09,"별점(10점 만점 중)
10",안끝났으면 좋겠다ㅠㅠㅠㅠ
2019.09.10. 20:00,"별점(10점 만점 중)
10",진짜 엔드게임을 보려고 마블 영화를 모두 다 본 게 아닌가 생각이 드는 정도!!
2019.08.13. 13:51,"별점(10점 만점 중)
8",역시 실망시키지않는 어벤져스 시리즈네요
2019.07.31. 09:16,"별점(10점 만점 중)
10",역시 마블 정말 대박 이야
2019.07.22. 11:15,"별점(10점 만점 중)
9",명불허전 어벤져스... 근데 중간에 잠 ㅠ
2019.07.21. 17:18,"별점(10점 만점 중)
10",그냥 사랑이야 이건 근데 이제 어벤져스 안하나...
2019.07.09. 23:48,"별점(10점 만점 중)
10",타노스 불쌍해...난 타노스편이다
2019.07.07. 04:25,"별점(10점 만점 중)
10",3시간이 전혀 지루하지않았음 마지막은 아직도 여운이..
2019.07.06. 23:09,"별점(10점 만점 중)
10",마지막이라고 생각하니 너무 슬펐어요너무 재미있었어요
2019.07.01. 23:22,"별점(10점 만점 중)
10",대미를 장식하는 완벽한 마무리
2019.07.01. 23:06,"별점(10점 만점 중)
9",마블시리즈 엔드게임 이후에도 엔드가 아니기를
2019.07.01. 18:36,"별점(10점 만점 중)
10",긴 시간이 이렇게 짧게 느껴지기는 처음
2019.07.01. 17:09,"별점(10점 만점 중)
10",마지막 아이언맨 울면서 봤어요..ㅠ
2019.06.29. 15:35,"별점(10점 만점 중)
10",3시간이 지루하지않네요
2019.06.27. 20:56,"별점(10점 만점 중)
10",정말 캡틴아메리카는 진리입니다. 감동이 물밀듯 오네요.
2019.06.25. 23:42,"별점(10점 만점 중)
10",마지막인게 체감이 안된다 ㅜㅜㅠ...
2019.06.25. 23:18,"별점(10점 만점 중)
9",재미있게 보았습니다 다음 마블 작품이 기대가 되네요
2019.10.09. 11:46,"별점(10점 만점 중)
10",이보다 완벽한 마무리가 있을까 싶다 ㅋㅋ
2019.07.07. 08:54,"별점(10점 만점 중)
10",첨 2시간은 별루 나머지 한시간은 재미 있었어요
2019.07.03. 19:05,"별점(10점 만점 중)
9",살짝 지루한 감이 있음...
2019.05.08. 18:56,"별점(10점 만점 중)
8",기대를 너무 많이 했나?
2019.11.27. 04:35,"별점(10점 만점 중)
10",아뉘...포인트 삭제한다고 해서 다시 씀
2019.10.20. 17:05,"별점(10점 만점 중)
10",스포일러가 포함된 감상평입니다. 감상평보기
2019.11.02. 23:47,"별점(10점 만점 중)
10",대단원의 막ㅂㄷㅂㄷ 이전작들을 몇번씩 본 입장에서 정말 감동적이었고 여운이 남음. 근데 이전작들을 안본사람은 스토리 이해가 하나도 안될듯
2019.11.28. 11:20,"별점(10점 만점 중)
8",재미있었습니다마지막에 토니가 죽어서 슬펐지만 이대한만큼 지루하지않게 잘보았습니다
2020.03.26. 08:36,"별점(10점 만점 중)
8",이건 안볼이유도없고 최고그자체이다.
